x,y
-2.000000,0.000000
-1.998102,0.000000
-1.996205,0.000000
-1.994307,0.000000
-1.992410,0.000000
-1.990512,0.000000
-1.988615,0.000000
-1.986717,0.000000
-1.984820,0.000000
-1.982922,0.000000
-1.981025,0.000000
-1.979127,0.000000
-1.977230,0.000000
-1.975332,0.000000
-1.973435,0.000000
-1.971537,0.000000
-1.969639,0.000000
-1.967742,0.000000
-1.965844,0.000000
-1.963947,0.000000
-1.962049,0.000000
-1.960152,0.000000
-1.958254,0.000000
-1.956357,0.000000
-1.954459,0.000000
-1.952562,0.000000
-1.950664,0.000000
-1.948767,0.000000
-1.946869,0.000000
-1.944972,0.000000
-1.943074,0.000000
-1.941176,0.000000
-1.939279,0.000000
-1.937381,0.000000
-1.935484,0.000000
-1.933586,0.000000
-1.931689,0.000000
-1.929791,0.000000
-1.927894,0.000000
-1.925996,0.000000
-1.924099,0.000000
-1.922201,0.000000
-1.920304,0.000000
-1.918406,0.000000
-1.916509,0.000000
-1.914611,0.000000
-1.912713,0.000000
-1.910816,0.000000
-1.908918,0.000000
-1.907021,0.000000
-1.905123,0.000000
-1.903226,0.000000
-1.901328,0.000000
-1.899431,0.000000
-1.897533,0.000000
-1.895636,0.000000
-1.893738,0.000000
-1.891841,0.000000
-1.889943,0.000000
-1.888046,0.000000
-1.886148,0.000000
-1.884250,0.000000
-1.882353,0.000000
-1.880455,0.000000
-1.878558,0.000000
-1.876660,0.000000
-1.874763,0.000000
-1.872865,0.000000
-1.870968,0.000000
-1.869070,0.000000
-1.867173,0.000000
-1.865275,0.000000
-1.863378,0.000000
-1.861480,0.000000
-1.859583,0.000000
-1.857685,0.000000
-1.855787,0.000000
-1.853890,0.000000
-1.851992,0.000000
-1.850095,0.000000
-1.848197,0.000000
-1.846300,0.000000
-1.844402,0.000000
-1.842505,0.000000
-1.840607,0.000000
-1.838710,0.000000
-1.836812,0.000000
-1.834915,0.000000
-1.833017,0.000000
-1.831120,0.000000
-1.829222,0.000000
-1.827324,0.000000
-1.825427,0.000000
-1.823529,0.000000
-1.821632,0.000000
-1.819734,0.000000
-1.817837,0.000000
-1.815939,0.000000
-1.814042,0.000000
-1.812144,0.000000
-1.810247,0.000000
-1.808349,0.000000
-1.806452,0.000000
-1.804554,0.000000
-1.802657,0.000000
-1.800759,0.000000
-1.798861,0.000000
-1.796964,0.000000
-1.795066,0.000000
-1.793169,0.000000
-1.791271,0.000000
-1.789374,0.000000
-1.787476,0.000000
-1.785579,0.000000
-1.783681,0.000000
-1.781784,0.000000
-1.779886,0.000000
-1.777989,0.000000
-1.776091,0.000000
-1.776091,-0.001898
-1.774194,-0.003795
-1.774194,-0.001898
-1.776091,0.001898
-1.774194,0.001898
-1.772296,-0.001898
-1.772296,-0.003795
-1.774194,0.000000
-1.772296,0.000000
-1.772296,0.003795
-1.770398,-0.001898
-1.770398,0.000000
-1.774194,0.003795
-1.768501,0.000000
-1.766603,-0.005693
-1.766603,0.005693
-1.766603,-0.001898
-1.766603,-0.003795
-1.766603,0.003795
-1.766603,0.000000
-1.766603,0.007590
-1.766603,0.001898
-1.764706,-0.009488
-1.764706,-0.005693
-1.766603,-0.007590
-1.772296,0.001898
-1.764706,-0.007590
-1.764706,0.000000
-1.764706,0.009488
-1.764706,0.005693
-1.762808,-0.005693
-1.762808,-0.009488
-1.764706,-0.003795
-1.770398,0.001898
-1.764706,-0.001898
-1.762808,0.000000
-1.762808,0.009488
-1.762808,-0.007590
-1.762808,0.005693
-1.762808,0.007590
-1.762808,0.003795
-1.760911,-0.005693
-1.760911,-0.009488
-1.764706,0.001898
-1.764706,0.007590
-1.764706,0.003795
-1.762808,-0.003795
-1.760911,0.007590
-1.760911,0.009488
-1.762808,-0.001898
-1.760911,-0.001898
-1.760911,0.005693
-1.759013,-0.013283
-1.759013,0.003795
