N,procs,time
OK, Size=30000, Procs=1, Time=0.455915
OK, Size=30000, Procs=2, Time=0.232770
OK, Size=30000, Procs=4, Time=0.132459
OK, Size=30000, Procs=6, Time=0.103225
OK, Size=30000, Procs=8, Time=0.087153
