N,procs,time,px,py
RESULT: OK | N=30000 | Procs=1 | Time=0.524027
RESULT: OK | N=30000 | Procs=2 | Time=0.281960
RESULT: OK | N=30000 | Procs=4 | Time=0.156391
RESULT: OK | N=30000 | Procs=6 | Time=0.126322
RESULT: OK | N=30000 | Procs=8 | Time=0.117282
